m	skills	qno	seed				
4	8,15,23,38,	1356	1				
4	30,33,46,55,	907	2				
4	0,9,36,49,	2611	3				
4	0,16,20,29,	2181	4				
4	11,19,23,57,	2061	5				
4	15,35,36,46,	1131	6				
4	24,46,51,55,	1144	7				
4	13,19,46,54,	317	8				
4	7,37,47,57,	2470	9				
4	0,23,37,39,	2327	10				
4	15,34,36,57,	3858	11				
4	14,21,34,46,	2097	12				
4	23,39,46,50,	783	13				
4	11,27,43,57,	2376	14				
4	2,8,20,23,	831	15				
4	1,21,28,47,	1912	16				
4	1,12,25,48,	4628	17				
4	17,36,47,48,	3767	18				
4	8,11,41,47,	732	19				
4	11,29,31,47,	977	20				
4	0,10,49,50,	2475	21				
4	8,18,24,39,	1158	22				
4	11,18,35,54,	381	23				
4	16,35,46,50,	670	24				
4	38,47,52,53,	2481	25				
4	3,12,13,31,	1000	26				
4	8,24,30,39,	1703	27				
4	1,23,38,52,	2987	28				
4	13,17,35,53,	1054	29				
4	0,14,21,46,	2090	30				
4	0,12,24,34,	4079	31				
4	9,33,43,53,	1192	32				
4	22,27,30,45,	1388	33				
4	10,24,26,29,	2581	34				
4	5,17,22,48,	3300	35				
4	11,21,34,38,	2763	36				
4	13,15,31,33,	576	37				
4	8,16,31,56,	843	38				
4	2,10,50,54,	1402	39				
4	10,14,23,26,	2160	40				
4	0,5,21,34,	3271	41				
4	9,44,50,52,	1342	42				
4	11,44,45,56,	536	43				
4	7,16,33,56,	581	44				
4	9,43,52,53,	1834	45				
4	33,41,52,53,	1534	46				
4	13,22,29,44,	537	47				
4	22,35,40,57,	2318	48				
4	15,33,34,43,	1875	49				
4	1,18,27,57,	3648	50				
4	5,11,22,56,	1044	51				
4	11,26,41,43,	1426	52				
4	4,7,18,22,	333	53				
4	4,11,45,53,	958	54				
4	23,45,46,57,	1947	55				
4	16,25,45,57,	1973	56				
4	3,7,10,55,	896	57				
4	22,34,44,54,	1902	58				
4	23,25,45,48,	2854	59				
4	6,10,45,53,	1866	60				
4	9,44,45,56,	727	61				
4	22,26,35,39,	1624	62				
4	14,32,33,45,	431	63				
4	4,5,15,55,	651	64				
4	8,24,41,52,	1697	65				
4	32,34,40,41,	2036	66				
4	2,11,21,43,	778	67				
4	23,43,47,49,	582	68				
4	24,41,42,54,	1149	69				
4	17,20,32,44,	442	70				
4	4,11,31,53,	1180	71				
4	25,31,32,40,	570	72				
4	9,19,43,46,	652	73				
4	2,8,23,46,	724	74				
4	2,7,20,38,	1685	75				
4	16,19,30,32,	931	76				
4	9,31,47,52,	1641	77				
4	6,13,44,54,	656	78				
4	8,26,39,51,	1378	79				
4	34,44,50,51,	1924	80				
4	42,43,54,55,	384	81				
4	21,32,37,55,	657	82				
4	12,14,17,32,	1149	83				
4	32,35,39,42,	535	84				
4	20,28,44,57,	1991	85				
4	9,17,22,25,	862	86				
4	3,21,35,57,	1878	87				
4	19,20,32,57,	2027	88				
4	11,13,19,32,	391	89				
4	6,15,19,55,	917	90				
4	9,38,42,53,	2195	91				
4	2,4,9,25,	867	92				
4	2,20,21,56,	992	93				
4	21,43,49,50,	430	94				
4	26,40,43,55,	1467	95				
4	16,18,29,56,	698	96				
4	8,30,34,37,	2618	97				
4	10,35,42,53,	1614	98				
4	7,21,48,55,	2938	99				
4	7,19,20,41,	530	100				
6	8,9,15,23,38,44,	1739	1				
6	30,31,33,46,54,55,	1172	2				
6	0,7,9,19,36,49,	2697	3				
6	0,4,16,18,20,29,	2194	4				
6	11,13,19,23,26,57,	3022	5				
6	1,15,35,36,46,50,	2741	6				
6	10,24,32,46,51,55,	1818	7				
6	13,19,26,33,46,54,	1273	8				
6	7,18,37,39,47,57,	2707	9				
6	0,8,23,24,37,39,	3035	10				
6	15,16,34,36,49,57,	4062	11				
6	14,21,30,34,46,50,	2865	12				
6	23,38,39,46,50,56,	1973	13				
6	11,22,27,28,43,57,	2622	14				
6	2,8,9,20,22,23,	1445	15				
6	1,20,21,28,47,53,	2734	16				
6	1,12,25,31,37,48,	5120	17				
6	4,17,18,36,47,48,	3783	18				
6	8,11,12,13,41,47,	1426	19				
6	10,11,24,29,31,47,	2386	20				
6	0,10,34,49,50,53,	4069	21				
6	8,18,20,23,24,39,	1482	22				
6	11,18,26,32,35,54,	1365	23				
6	16,25,35,46,47,50,	1030	24				
6	9,37,38,47,52,53,	3205	25				
6	3,12,13,29,31,38,	2074	26				
6	8,24,30,38,39,44,	2654	27				
6	1,23,38,42,51,52,	3120	28				
6	13,17,26,35,44,53,	1984	29				
6	0,14,18,21,46,50,	2311	30				
6	0,2,12,24,34,43,	4421	31				
6	9,14,33,36,43,53,	2103	32				
6	18,22,23,27,30,45,	1504	33				
6	10,12,24,26,29,47,	3429	34				
6	5,17,22,23,48,53,	3895	35				
6	11,21,34,36,38,53,	3601	36				
6	13,15,28,31,33,38,	1560	37				
6	4,8,16,31,34,56,	2371	38				
6	2,10,12,26,50,54,	2863	39				
6	10,11,14,23,26,42,	2433	40				
6	0,5,21,34,51,53,	3569	41				
6	9,37,41,44,50,52,	1877	42				
6	11,25,30,44,45,56,	1182	43				
6	7,16,26,33,45,56,	1491	44				
6	9,10,43,52,53,55,	2540	45				
6	1,33,41,42,52,53,	3078	46				
6	13,22,29,42,44,53,	1352	47				
6	22,28,34,35,40,57,	3664	48				
6	13,15,33,34,43,46,	2031	49				
6	1,18,27,34,40,57,	4995	50				
6	5,11,22,24,43,56,	1887	51				
6	11,26,41,43,46,57,	3083	52				
6	4,7,18,22,31,50,	854	53				
