m	skills	        qno	seed
4	0,10,23,24,	396	seed=1
4	6,16,21,22,	347	seed=2
4	10,12,15,23,	292	seed=3
4	3,18,24,26,	382	seed=4
4	0,9,25,26,	415	seed=5
4	6,17,20,25,	364	seed=6
4	4,10,12,25,	217	seed=7
4	1,6,15,19,	420	seed=8
4	0,1,9,25,	416	seed=9
4	0,7,20,21,	383	seed=10
4	0,4,12,13,	279	seed=11
4	3,7,15,21,	341	seed=12
4	0,1,4,25,	230	seed=13
4	2,7,19,20,	517	seed=14
4	3,4,13,15,	242	seed=15
4	0,11,15,19,	412	seed=16
4	15,20,22,25,	184	seed=17
4	4,7,14,15,	277	seed=18
4	0,6,12,14,	455	seed=19
4	1,10,17,19,	336	seed=20
4	17,20,21,25,	164	seed=21
4	5,6,13,16,	689	seed=22
4	8,12,16,18,	658	seed=23
4	0,1,18,19,	439	seed=24
4	18,20,23,25,	301	seed=25
4	5,6,15,18,	717	seed=26
4	7,12,16,19,	468	seed=27
4	0,2,18,21,	382	seed=28
4	0,10,22,23,	357	seed=29
4	4,6,16,20,	399	seed=30
4	9,12,16,21,	427	seed=31
4	1,10,14,20,	261	seed=32
4	3,12,15,26,	244	seed=33
4	5,6,13,24,	687	seed=34
4	13,14,17,18,	244	seed=35
4	0,11,16,20,	347	seed=36
4	5,11,17,26,	626	seed=37
4	4,5,15,26,	615	seed=38
4	13,15,16,19,	353	seed=39
4	12,19,20,26,	355	seed=40
4	6,10,19,26,	458	seed=41
4	7,17,22,25,	225	seed=42
4	13,15,18,19,	376	seed=43
4	12,19,21,26,	314	seed=44
4	6,9,21,26,	470	seed=45
4	0,7,20,22,	392	seed=46
4	5,13,19,20,	681	seed=47
4	5,7,14,21,	720	seed=48
4	1,6,24,26,	304	seed=49
4	4,7,18,20,	341	seed=50
4	2,5,13,14,	677	seed=51
4	7,8,13,20,	691	seed=52
4	1,8,23,26,	611	seed=53
4	5,6,9,22,	752	seed=54
4	1,7,12,16,	306	seed=55
4	9,10,12,20,	417	seed=56
4	2,10,22,26,	277	seed=57
4	5,8,9,21,	830	seed=58
4	9,14,17,20,	420	seed=59
4	2,8,12,20,	633	seed=60
4	4,12,21,26,	110	seed=61
4	5,7,11,23,	732	seed=62
4	11,14,16,19,	420	seed=63
4	5,12,18,22,	685	seed=64
4	1,5,13,24,	642	seed=65
4	3,4,8,10,	663	seed=66
4	4,14,19,24,	426	seed=67
4	2,7,18,21,	408	seed=68
4	0,7,12,23,	433	seed=69
4	5,6,7,10,	773	seed=70
4	6,13,18,25,	389	seed=71
4	1,9,19,21,	464	seed=72
4	0,10,13,14,	348	seed=73
4	6,7,8,9,	792	seed=74
4	0,9,13,19,	533	seed=75
4	1,11,21,22,	119	seed=76
4	0,11,12,15,	317	seed=77
4	5,6,7,10,	773	seed=78
4	11,15,17,26,	116	seed=79
4	13,15,19,23,	366	seed=80
4	1,8,10,23,	647	seed=81
4	1,7,20,22,	292	seed=82
4	4,13,21,22,	147	seed=83
4	13,15,19,25,	296	seed=84
4	1,9,25,26,	294	seed=85
4	1,7,19,24,	466	seed=86
4	3,13,20,25,	234	seed=87
4	0,13,15,20,	272	seed=88
4	1,2,10,25,	260	seed=89
4	2,7,19,26,	495	seed=90
4	0,4,14,23,	370	seed=91
4	3,13,17,20,	241	seed=92
4	1,3,11,24,	333	seed=93
4	1,5,8,11,	801	seed=94
