m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
16,1,871,"[0, 1, 4, 5, 9, 10, 11, 12, 14, 15, 16, 18, 22, 23, 24, 26]",22.669,22.669,"[1, 152, 373, 695]","[1, 152, 373, 695]",220.37830996513367,16.519390106201172
16,2,878,"[0, 1, 3, 6, 8, 9, 10, 12, 14, 16, 18, 19, 21, 22, 25, 26]",35.355,35.355,"[157, 373, 376, 384, 770]","[157, 373, 376, 384, 770]",284.76553678512573,181.55180478096008
16,3,910,"[2, 3, 4, 5, 8, 10, 12, 15, 16, 17, 20, 21, 22, 23, 25, 26]",22.647,22.647,"[0, 60, 93, 303, 727]","[0, 60, 93, 303, 727]",320.8842525482178,17.28502058982849
16,4,887,"[0, 2, 3, 4, 6, 7, 8, 12, 16, 17, 18, 19, 21, 22, 24, 26]",14.760000000000002,14.760000000000002,"[57, 296, 462, 708]","[57, 296, 462, 708]",311.7362277507782,9.143902063369751
16,5,894,"[0, 1, 2, 6, 7, 8, 9, 10, 13, 15, 17, 20, 21, 23, 25, 26]",30.612999999999996,30.612999999999996,"[160, 292, 380, 484, 764]","[160, 292, 380, 484, 764]",336.37373971939087,21.739999294281006
16,6,794,"[0, 1, 4, 5, 6, 11, 13, 14, 15, 16, 17, 20, 21, 22, 25, 26]",43.102000000000004,43.102,"[14, 18, 338, 566, 637]","[14, 18, 338, 566, 637]",224.2690188884735,23.120007753372192
16,7,903,"[1, 3, 4, 5, 8, 10, 11, 12, 14, 15, 20, 21, 22, 24, 25, 26]",40.039,40.03899999999999,"[26, 262, 298, 383, 606]","[26, 262, 298, 383, 606]",276.0414664745331,61.01955461502075
16,8,871,"[0, 1, 2, 3, 4, 6, 8, 10, 11, 13, 14, 15, 19, 22, 23, 24]",19.544,19.544,"[26, 243, 365, 690]","[26, 243, 365, 690]",284.9333333969116,14.282629251480103
16,9,983,"[0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 22, 25]",13.705,13.705,"[33, 168, 416]","[33, 168, 416]",467.97309708595276,16.415393590927124
16,10,733,"[0, 1, 4, 7, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 23, 25]",29.698999999999998,29.698999999999998,"[1, 47, 72, 315, 453]","[1, 47, 72, 315, 453]",125.75793504714966,34.74146866798401
