,m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
0,4,1,396,"[0, 10, 23, 24]",0.952,0.952,"[80, 212]","[80, 212]",9.197016716003418,1.7870006561279297
1,4,2,347,"[6, 16, 21, 22]",0.986,0.986,"[24, 170]","[24, 170]",2.4249682426452637,1.558105230331421
2,4,3,291,"[10, 12, 15, 23]",0.879,0.879,"[58, 232]","[58, 232]",2.9919095039367676,1.3147852420806885
3,4,4,383,"[3, 18, 24, 26]",2.963,2.963,"[52, 77, 248]","[52, 77, 248]",9.192088603973389,2.294884443283081
4,4,5,415,"[0, 9, 25, 26]",1.967,1.967,"[35, 129]","[35, 129]",9.017288446426392,1.750814437866211
5,4,6,364,"[6, 17, 20, 25]",1.96,1.96,"[31, 219]","[31, 219]",6.0207765102386475,1.5639619827270508
6,4,7,216,"[4, 10, 12, 25]",0.0,0.0,[8],[8],0.3366513252258301,0.6922616958618164
7,4,8,420,"[1, 6, 15, 19]",2.921,2.921,"[76, 174]","[76, 174]",2.807509422302246,1.6470081806182861
8,4,9,416,"[0, 1, 9, 25]",7.922,7.922,"[171, 227, 305]","[171, 227, 305]",9.570410013198853,16.644710063934326
9,4,10,384,"[0, 7, 20, 21]",0.969,0.969,"[31, 262]","[31, 262]",8.065068483352661,1.4959142208099365
